time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,programme,breakdown,group_name,count_swfc_ects,count_one_year_retention,count_two_year_retention,count_three_year_retention,percent_one_year_retention,percent_two_year_retention,percent_three_year_retention
202122,Academic year,National,England,E92000001,,,Overall,Overall,Overall,21726,19046,17238,15958,87.7,79.3,73.5
202223,Academic year,National,England,E92000001,,,Overall,Overall,Overall,21229,18868,17089,z,88.9,80.5,z
202324,Academic year,National,England,E92000001,,,Overall,Overall,Overall,18031,16180,z,z,89.7,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,Overall,Overall,20687,18144,16448,15244,87.7,79.5,73.7
202223,Academic year,National,England,E92000001,,,Provider-led,Overall,Overall,20220,17993,16313,z,89,80.7,z
202324,Academic year,National,England,E92000001,,,Provider-led,Overall,Overall,17229,15450,z,z,89.7,z,z
202122,Academic year,National,England,E92000001,,,School-led,Overall,Overall,1039,902,790,714,86.8,76,68.7
202223,Academic year,National,England,E92000001,,,School-led,Overall,Overall,1009,875,776,z,86.7,76.9,z
202324,Academic year,National,England,E92000001,,,School-led,Overall,Overall,802,730,z,z,91,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase,Other,748,684,625,589,91.4,83.6,78.7
202223,Academic year,National,England,E92000001,,,Overall,School phase,Other,811,744,678,z,91.7,83.6,z
202324,Academic year,National,England,E92000001,,,Overall,School phase,Other,727,664,z,z,91.3,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase,Primary,9373,8339,7605,7088,89,81.1,75.6
202223,Academic year,National,England,E92000001,,,Overall,School phase,Primary,9970,8905,8107,z,89.3,81.3,z
202324,Academic year,National,England,E92000001,,,Overall,School phase,Primary,8697,7811,z,z,89.8,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase,Secondary,11605,10023,9008,8281,86.4,77.6,71.4
202223,Academic year,National,England,E92000001,,,Overall,School phase,Secondary,10448,9219,8304,z,88.2,79.5,z
202324,Academic year,National,England,E92000001,,,Overall,School phase,Secondary,8607,7705,z,z,89.5,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase,Other,727,663,608,572,91.2,83.6,78.7
202223,Academic year,National,England,E92000001,,,Provider-led,School phase,Other,781,718,651,z,91.9,83.4,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase,Other,716,654,z,z,91.3,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase,Primary,9070,8079,7371,6869,89.1,81.3,75.7
202223,Academic year,National,England,E92000001,,,Provider-led,School phase,Primary,9644,8620,7856,z,89.4,81.5,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase,Primary,8441,7573,z,z,89.7,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase,Secondary,10890,9402,8469,7803,86.3,77.8,71.7
202223,Academic year,National,England,E92000001,,,Provider-led,School phase,Secondary,9795,8655,7806,z,88.4,79.7,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase,Secondary,8072,7223,z,z,89.5,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase,Other,21,21,17,17,u,u,u
202223,Academic year,National,England,E92000001,,,School-led,School phase,Other,30,26,27,z,86.7,90,z
202324,Academic year,National,England,E92000001,,,School-led,School phase,Other,11,10,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase,Primary,303,260,234,219,85.8,77.2,72.3
202223,Academic year,National,England,E92000001,,,School-led,School phase,Primary,326,285,251,z,87.4,77,z
202324,Academic year,National,England,E92000001,,,School-led,School phase,Primary,256,238,z,z,93,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase,Secondary,715,621,539,478,86.9,75.4,66.9
202223,Academic year,National,England,E92000001,,,School-led,School phase,Secondary,653,564,498,z,86.4,76.3,z
202324,Academic year,National,England,E92000001,,,School-led,School phase,Secondary,535,482,z,z,90.1,z,z
202122,Academic year,National,England,E92000001,,,Overall,School type,Academies,13011,11308,10196,9455,86.9,78.4,72.7
202223,Academic year,National,England,E92000001,,,Overall,School type,Academies,12625,11157,10158,z,88.4,80.5,z
202324,Academic year,National,England,E92000001,,,Overall,School type,Academies,11041,9879,z,z,89.5,z,z
202122,Academic year,National,England,E92000001,,,Overall,School type,Free schools,1125,975,866,792,86.7,77,70.4
202223,Academic year,National,England,E92000001,,,Overall,School type,Free schools,1096,985,859,z,89.9,78.4,z
202324,Academic year,National,England,E92000001,,,Overall,School type,Free schools,979,890,z,z,90.9,z,z
202122,Academic year,National,England,E92000001,,,Overall,School type,Local authority maintained schools,7186,6387,5835,5387,88.9,81.2,75
202223,Academic year,National,England,E92000001,,,Overall,School type,Local authority maintained schools,7069,6324,5710,z,89.5,80.8,z
202324,Academic year,National,England,E92000001,,,Overall,School type,Local authority maintained schools,5658,5087,z,z,89.9,z,z
202122,Academic year,National,England,E92000001,,,Overall,School type,Other types,8,5,c,c,u,c,c
202223,Academic year,National,England,E92000001,,,Overall,School type,Other types,7,7,6,z,u,u,z
202324,Academic year,National,England,E92000001,,,Overall,School type,Other types,4,4,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,Overall,School type,Special schools,396,371,338,321,93.7,85.4,81.1
202223,Academic year,National,England,E92000001,,,Overall,School type,Special schools,432,395,356,z,91.4,82.4,z
202324,Academic year,National,England,E92000001,,,Overall,School type,Special schools,349,320,z,z,91.7,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School type,Academies,12397,10764,9729,9037,86.8,78.5,72.9
202223,Academic year,National,England,E92000001,,,Provider-led,School type,Academies,12057,10668,9716,z,88.5,80.6,z
202324,Academic year,National,England,E92000001,,,Provider-led,School type,Academies,10536,9424,z,z,89.4,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School type,Free schools,1078,934,833,759,86.6,77.3,70.4
202223,Academic year,National,England,E92000001,,,Provider-led,School type,Free schools,1038,938,815,z,90.4,78.5,z
202324,Academic year,National,England,E92000001,,,Provider-led,School type,Free schools,938,850,z,z,90.6,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School type,Local authority maintained schools,6825,6087,5558,5137,89.2,81.4,75.3
202223,Academic year,National,England,E92000001,,,Provider-led,School type,Local authority maintained schools,6705,6001,5436,z,89.5,81.1,z
202324,Academic year,National,England,E92000001,,,Provider-led,School type,Local authority maintained schools,5408,4858,z,z,89.8,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School type,Other types,8,5,c,c,u,c,c
202223,Academic year,National,England,E92000001,,,Provider-led,School type,Other types,7,7,6,z,u,u,z
202324,Academic year,National,England,E92000001,,,Provider-led,School type,Other types,4,4,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School type,Special schools,379,354,325,308,93.4,85.8,81.3
202223,Academic year,National,England,E92000001,,,Provider-led,School type,Special schools,413,379,340,z,91.8,82.3,z
202324,Academic year,National,England,E92000001,,,Provider-led,School type,Special schools,343,314,z,z,91.5,z,z
202122,Academic year,National,England,E92000001,,,School-led,School type,Academies,614,544,467,418,88.6,76.1,68.1
202223,Academic year,National,England,E92000001,,,School-led,School type,Academies,568,489,442,z,86.1,77.8,z
202324,Academic year,National,England,E92000001,,,School-led,School type,Academies,505,455,z,z,90.1,z,z
202122,Academic year,National,England,E92000001,,,School-led,School type,Free schools,47,41,33,33,87.2,70.2,70.2
202223,Academic year,National,England,E92000001,,,School-led,School type,Free schools,58,47,44,z,81,75.9,z
202324,Academic year,National,England,E92000001,,,School-led,School type,Free schools,41,40,z,z,97.6,z,z
202122,Academic year,National,England,E92000001,,,School-led,School type,Local authority maintained schools,361,300,277,250,83.1,76.7,69.3
202223,Academic year,National,England,E92000001,,,School-led,School type,Local authority maintained schools,364,323,274,z,88.7,75.3,z
202324,Academic year,National,England,E92000001,,,School-led,School type,Local authority maintained schools,250,229,z,z,91.6,z,z
202122,Academic year,National,England,E92000001,,,School-led,School type,Other types,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,School-led,School type,Other types,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,School-led,School type,Other types,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,School-led,School type,Special schools,17,17,13,13,u,u,u
202223,Academic year,National,England,E92000001,,,School-led,School type,Special schools,19,16,16,z,u,u,z
202324,Academic year,National,England,E92000001,,,School-led,School type,Special schools,6,6,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Academies,252,227,212,196,90.1,84.1,77.8
202223,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Academies,275,252,235,z,91.6,85.5,z
202324,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Academies,271,241,z,z,88.9,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Free schools,52,44,40,38,84.6,76.9,73.1
202223,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Free schools,54,50,43,z,92.6,79.6,z
202324,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Free schools,66,64,z,z,97,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Local authority maintained schools,40,37,32,31,92.5,80,77.5
202223,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Local authority maintained schools,43,40,38,z,93,88.4,z
202324,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Local authority maintained schools,37,35,z,z,94.6,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Other types,8,5,c,c,u,c,c
202223,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Other types,7,7,6,z,u,u,z
202324,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Other types,4,4,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Special schools,396,371,338,321,93.7,85.4,81.1
202223,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Special schools,432,395,356,z,91.4,82.4,z
202324,Academic year,National,England,E92000001,,,Overall,School phase*type,Other - Special schools,349,320,z,z,91.7,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase*type,Primary - Academies,4164,3665,3353,3142,88,80.5,75.5
202223,Academic year,National,England,E92000001,,,Overall,School phase*type,Primary - Academies,4603,4088,3740,z,88.8,81.3,z
202324,Academic year,National,England,E92000001,,,Overall,School phase*type,Primary - Academies,4224,3782,z,z,89.5,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase*type,Primary - Free schools,241,218,194,181,90.5,80.5,75.1
202223,Academic year,National,England,E92000001,,,Overall,School phase*type,Primary - Free schools,225,209,191,z,92.9,84.9,z
202324,Academic year,National,England,E92000001,,,Overall,School phase*type,Primary - Free schools,246,225,z,z,91.5,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase*type,Primary - Local authority maintained schools,4968,4456,4058,3765,89.7,81.7,75.8
202223,Academic year,National,England,E92000001,,,Overall,School phase*type,Primary - Local authority maintained schools,5142,4608,4176,z,89.6,81.2,z
202324,Academic year,National,England,E92000001,,,Overall,School phase*type,Primary - Local authority maintained schools,4227,3804,z,z,90,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase*type,Secondary - Academies,8595,7416,6631,6117,86.3,77.1,71.2
202223,Academic year,National,England,E92000001,,,Overall,School phase*type,Secondary - Academies,7747,6817,6183,z,88,79.8,z
202324,Academic year,National,England,E92000001,,,Overall,School phase*type,Secondary - Academies,6546,5856,z,z,89.5,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase*type,Secondary - Free schools,832,713,632,573,85.7,76,68.9
202223,Academic year,National,England,E92000001,,,Overall,School phase*type,Secondary - Free schools,817,726,625,z,88.9,76.5,z
202324,Academic year,National,England,E92000001,,,Overall,School phase*type,Secondary - Free schools,667,601,z,z,90.1,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase*type,Secondary - Local authority maintained schools,2178,1894,1745,1591,87,80.1,73
202223,Academic year,National,England,E92000001,,,Overall,School phase*type,Secondary - Local authority maintained schools,1884,1676,1496,z,89,79.4,z
202324,Academic year,National,England,E92000001,,,Overall,School phase*type,Secondary - Local authority maintained schools,1394,1248,z,z,89.5,z,z
202122,Academic year,National,England,E92000001,,,Overall,School phase*type,Unknown,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,Overall,School phase*type,Unknown,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,Overall,School phase*type,Unknown,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Academies,250,225,210,194,90,84,77.6
202223,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Academies,267,244,227,z,91.4,85,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Academies,268,239,z,z,89.2,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Free schools,51,43,39,37,84.3,76.5,72.5
202223,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Free schools,54,50,43,z,92.6,79.6,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Free schools,65,63,z,z,96.9,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Local authority maintained schools,39,36,31,30,92.3,79.5,76.9
202223,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Local authority maintained schools,40,38,35,z,95,87.5,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Local authority maintained schools,36,34,z,z,94.4,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Other types,8,5,c,c,u,c,c
202223,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Other types,7,7,6,z,u,u,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Other types,4,4,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Special schools,379,354,325,308,93.4,85.8,81.3
202223,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Special schools,413,379,340,z,91.8,82.3,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Other - Special schools,343,314,z,z,91.5,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Primary - Academies,4031,3545,3250,3044,87.9,80.6,75.5
202223,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Primary - Academies,4456,3957,3627,z,88.8,81.4,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Primary - Academies,4107,3677,z,z,89.5,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Primary - Free schools,233,211,190,175,90.6,81.5,75.1
202223,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Primary - Free schools,208,195,177,z,93.8,85.1,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Primary - Free schools,234,213,z,z,91,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Primary - Local authority maintained schools,4806,4323,3931,3650,90,81.8,75.9
202223,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Primary - Local authority maintained schools,4980,4468,4052,z,89.7,81.4,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Primary - Local authority maintained schools,4100,3683,z,z,89.8,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Secondary - Academies,8116,6994,6269,5799,86.2,77.2,71.5
202223,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Secondary - Academies,7334,6467,5862,z,88.2,79.9,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Secondary - Academies,6161,5508,z,z,89.4,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Secondary - Free schools,794,680,604,547,85.6,76.1,68.9
202223,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Secondary - Free schools,776,693,595,z,89.3,76.7,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Secondary - Free schools,639,574,z,z,89.8,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Secondary - Local authority maintained schools,1980,1728,1596,1457,87.3,80.6,73.6
202223,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Secondary - Local authority maintained schools,1685,1495,1349,z,88.7,80.1,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Secondary - Local authority maintained schools,1272,1141,z,z,89.7,z,z
202122,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Unknown,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Unknown,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,Provider-led,School phase*type,Unknown,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Academies,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Academies,8,8,8,z,u,u,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Academies,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Free schools,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Free schools,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Free schools,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Local authority maintained schools,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Local authority maintained schools,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Local authority maintained schools,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Other types,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Other types,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Other types,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Special schools,17,17,13,13,u,u,u
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Special schools,19,16,16,z,u,u,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Other - Special schools,6,6,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Primary - Academies,133,120,103,98,90.2,77.4,73.7
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Primary - Academies,147,131,113,z,89.1,76.9,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Primary - Academies,117,105,z,z,89.7,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Primary - Free schools,8,7,4,6,u,u,u
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Primary - Free schools,17,14,14,z,u,u,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Primary - Free schools,12,12,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Primary - Local authority maintained schools,162,133,127,115,82.1,78.4,71
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Primary - Local authority maintained schools,162,140,124,z,86.4,76.5,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Primary - Local authority maintained schools,127,121,z,z,95.3,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Academies,479,422,362,318,88.1,75.6,66.4
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Academies,413,350,321,z,84.7,77.7,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Academies,385,348,z,z,90.4,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Free schools,38,33,28,26,86.8,73.7,68.4
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Free schools,41,33,30,z,80.5,73.2,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Free schools,28,27,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Local authority maintained schools,198,166,149,134,83.8,75.3,67.7
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Local authority maintained schools,199,181,147,z,91,73.9,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Secondary - Local authority maintained schools,122,107,z,z,87.7,z,z
202122,Academic year,National,England,E92000001,,,School-led,School phase*type,Unknown,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,School-led,School phase*type,Unknown,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,School-led,School phase*type,Unknown,c,c,z,z,c,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,25 to 29,6521,5684,5082,4624,87.2,77.9,70.9
202223,Academic year,National,England,E92000001,,,Overall,Age group,25 to 29,6358,5607,5040,z,88.2,79.3,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,25 to 29,5065,4501,z,z,88.9,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,30 to 39,3521,3036,2802,2590,86.2,79.6,73.6
202223,Academic year,National,England,E92000001,,,Overall,Age group,30 to 39,3481,3066,2811,z,88.1,80.8,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,30 to 39,2877,2577,z,z,89.6,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,40 to 49,1609,1397,1311,1253,86.8,81.5,77.9
202223,Academic year,National,England,E92000001,,,Overall,Age group,40 to 49,1629,1451,1342,z,89.1,82.4,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,40 to 49,1517,1356,z,z,89.4,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,50 to 59,453,377,343,315,83.2,75.7,69.5
202223,Academic year,National,England,E92000001,,,Overall,Age group,50 to 59,472,403,372,z,85.4,78.8,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,50 to 59,399,348,z,z,87.2,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,60 and over,13,9,6,6,u,u,u
202223,Academic year,National,England,E92000001,,,Overall,Age group,60 and over,23,16,11,z,u,u,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,60 and over,18,12,z,z,u,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,Under 25,9608,8542,7693,7169,88.9,80.1,74.6
202223,Academic year,National,England,E92000001,,,Overall,Age group,Under 25,9266,8325,7513,z,89.8,81.1,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,Under 25,8155,7386,z,z,90.6,z,z
202122,Academic year,National,England,E92000001,,,Overall,Age group,Unknown,c,c,c,c,c,c,c
202223,Academic year,National,England,E92000001,,,Overall,Age group,Unknown,c,c,c,z,c,c,z
202324,Academic year,National,England,E92000001,,,Overall,Age group,Unknown,c,c,z,z,c,z,z
